iter	RMSE
0	0.9204212438
1	0.8620091248
2	0.8096505654
3	0.7593202832
4	0.7098421779
5	0.6666288827
6	0.626262385
7	0.5898418269
8	0.5577112798
9	0.5268594176
10	0.4957426537
11	0.4685670273
12	0.4440185731
13	0.4200974079
14	0.4007492593
15	0.3807006403
16	0.3631845649
17	0.3457564334
18	0.3286049772
19	0.314681598
20	0.3009602935
21	0.2910798386
22	0.2787739327
23	0.2679327794
24	0.2583891539
25	0.2493999839
26	0.2399479361
27	0.232581695
28	0.2260212
29	0.2182587609
30	0.2102225114
31	0.2040588897
32	0.1975041506
33	0.1916963746
34	0.1859581291
35	0.1811513172
36	0.1768471625
37	0.1717263992
38	0.1669579275
39	0.1622332234
40	0.1587292598
41	0.1558863223
42	0.152393203
43	0.1488941358
44	0.14532757
45	0.1418276463
46	0.1385448894
47	0.136510797
48	0.1338244781
49	0.1305589536
50	0.128339906
51	0.1260032365
52	0.1235739125
53	0.121151635
54	0.1187599589
55	0.1168132164
56	0.1154057808
57	0.1136948779
58	0.1118492136
59	0.1102886985
60	0.1091599256
61	0.1079286499
62	0.1056918038
63	0.1045223182
64	0.1031614151
65	0.1009880453
66	0.09990391834
67	0.09882336554
68	0.09748139743
69	0.09631222264
70	0.095443087
71	0.09449296918
72	0.09355989757
73	0.0927106194
74	0.09194782308
75	0.09052280714
76	0.08884432423
77	0.08759791981
78	0.08675252787
79	0.08597727384
80	0.08541387236
81	0.08443477468
82	0.08299106136
83	0.08205111709
84	0.0810659872
85	0.08040380869
86	0.07921164072
87	0.07835995273
88	0.07750854058
89	0.07620626549
90	0.07568641449
91	0.07500030171
92	0.07441590143
93	0.07337181932
94	0.0726399397
95	0.07197371649
96	0.07145531483
97	0.07104025291
98	0.07035639937
99	0.06982997651
100	0.06926834234
101	0.06847761972
102	0.06794921921
103	0.06723747321
104	0.06678033282
105	0.0662120615
106	0.06539821802
107	0.06487008059
108	0.06429502216
109	0.06386521114
110	0.06320667785
111	0.06231200123
112	0.06158751924
113	0.06118629672
114	0.06054983101
115	0.06010904088
116	0.05918257836
117	0.05840364491
118	0.05799170606
119	0.0575661002
120	0.05727551294
121	0.05695066171
122	0.05647634147
123	0.05582622491
124	0.0553358177
125	0.05476673835
126	0.05449508982
127	0.05413930265
128	0.05378548212
129	0.05332626698
130	0.05270611697
131	0.05218345326
132	0.05189728818
133	0.05154064587
134	0.05110726932
135	0.05054754085
136	0.05016147568
137	0.04976881096
138	0.04935100576
139	0.04893002044
140	0.0485690845
141	0.04797988274
142	0.04768435545
143	0.04735741521
144	0.04673806972
145	0.04638563204
146	0.04609616969
147	0.04575424687
148	0.04535697759
149	0.04495870731
150	0.04475892611
151	0.04451943978
152	0.04411773678
153	0.04390884458
154	0.04352362137
155	0.04336739734
156	0.04299376828
157	0.04256019092
158	0.04219578797
159	0.04180578906
160	0.0416549205
161	0.04126812139
162	0.041014377
163	0.0406992972
164	0.04056985849
165	0.04010937462
166	0.03964343039
167	0.0392951825
168	0.0390253394
169	0.03883092895
170	0.03849607676
171	0.0382593856
172	0.03782617779
173	0.03736524425
174	0.03705702915
175	0.03677719057
176	0.03647877464
177	0.03624760235
178	0.03608824473
179	0.03587711209
180	0.0355982699
181	0.03530561248
182	0.03507411304
183	0.03476450084
184	0.03450100237
185	0.03428500031
186	0.03404082693
187	0.03378504982
188	0.03364808536
189	0.03322097831
190	0.03308821184
191	0.03280335508
192	0.03254117447
193	0.03234933725
194	0.03197007687
195	0.0318593937
196	0.03158737408
197	0.03134848664
198	0.03122276687
199	0.03092627173
