Model,Mean_MAPE,Std_MAPE,Mean_R2,Std_R2,Mean_Score,Std_Score,Type,Improvement
VotingEnsemble,0.7582633371909893,0.16843630472875926,0.9756924277430598,0.0013329904848355739,72.12267142680187,6.192511203263209,Advanced,2.922812142498458
LinearRegression,0.8377638274669476,0.18502960545153704,-0.3610109344639902,2.66561579844862,69.19985928430341,6.802559023953569,Baseline,0.0
Ridge,0.8504751656134488,0.20380780085812142,-0.28273699732830887,2.509573399564651,68.73253067597616,7.49293385507799,Baseline,-0.4673286083272501
CatBoost,0.9085751542372472,0.28326044001582884,0.9707457753451653,0.0017412334659593137,66.59650168245415,10.413986765287826,Advanced,-2.603357601849268
LightGBM,0.9924213779542026,0.3766253217714676,0.9734910540525867,0.001303806844722007,63.513919928154316,13.846519182774546,Advanced,-5.685939356149099
XGBoost_Optimized,1.021423098893225,0.3615032078638397,0.968073545870773,0.001405020928315072,62.4476801877491,13.290559112641168,Advanced,-6.752179096554315
GradientBoosting,1.2959845268789039,0.5867072339993424,0.9649337505268599,0.0022808177914150143,52.35351004121678,21.57011889703465,Baseline,-16.846349243086635
ElasticNet,1.3077542524781192,0.30032181784715556,-0.2106068135517951,2.2628177113135286,51.920799541245614,11.041243303204249,Baseline,-17.2790597430578
XGBoost,1.4425503930773942,0.6761137635255544,0.9557328936214142,0.0026478515028416504,47.00765661931823,24.776289415716608,Advanced,-22.19220266498518
Lasso,1.5048560497804129,0.3271248235799272,-0.17248280084260742,2.0787659855255325,44.67440993454365,12.026647925732622,Baseline,-24.525449349759768
RandomForest,1.5696117154311284,0.661288890373453,0.9347105898147605,0.0036943544971025817,43.02445241684705,22.936001254421864,Baseline,-26.175406867456367
