timestamp,run,submission_file,overall_mape,mape_BlendProperty1,mape_BlendProperty2,mape_BlendProperty3,mape_BlendProperty4,mape_BlendProperty5,mape_BlendProperty6,mape_BlendProperty7,mape_BlendProperty8,mape_BlendProperty9,mape_BlendProperty10
20250722_094508,1,submission_20250722_094508_001.csv,2.0299218281393743,3.101340518903841,1.575496589716004,1.7976761648058055,1.241017463178342,3.183860851397329,1.265440844411945,3.2256414392999386,1.7220084119187526,1.8991844246132092,1.2875515731485745
20250722_101716,2,submission_20250722_101716_002.csv,1.7948935184650903,2.266965953916084,1.455482905670787,1.4905576845039976,1.0973466785832302,2.601395049654625,1.223985852332029,3.092760504625737,1.7844828404505084,1.8366054459130918,1.0993522690008277
20250722_104932,3,submission_20250722_104932_003.csv,1.7349415464314064,1.4063223029035696,1.7490557021633888,1.84247501033556,1.3495159511622101,2.6304330181603137,1.5022302706711355,2.2849083598336284,1.7589774608257092,1.5522463555837505,1.2732510326748072
20250722_112037,4,submission_20250722_112037_004.csv,1.9041014500392994,2.9480638469306486,1.5218705115779343,1.4989735408364295,1.182470480850235,2.98972877757651,1.1897948397208002,3.2558028446135845,1.9060355528524555,1.4177114244348705,1.130562680999506
20250722_115201,5,submission_20250722_115201_005.csv,1.7683461428327285,2.6704881611330094,1.570460066038824,1.4542885334574853,1.157122306532387,2.9010958013380748,1.4082689691484283,2.302164377659023,1.875915467116125,1.2550868042112586,1.0885709416926594
20250722_122309,6,submission_20250722_122309_006.csv,1.6196200647026036,2.0703214089510165,1.5409183582220132,1.6096647145739067,1.2457824488854587,2.3971187097041122,1.2264640272472742,1.5724079179999546,1.7717874382719776,1.644398665307755,1.117336957862562
20250722_130636,7,submission_20250722_130636_007.csv,2.0633729932581586,4.942688453928869,1.6170371095195566,1.5773842386621713,1.2930513046594627,2.4999095325743816,1.1855657695396635,3.069966578050055,1.7003914428690037,1.5756045251079767,1.1721309776704474
