timestamp,run,submission_file,overall_mape,mape_BlendProperty1,mape_BlendProperty2,mape_BlendProperty3,mape_BlendProperty4,mape_BlendProperty5,mape_BlendProperty6,mape_BlendProperty7,mape_BlendProperty8,mape_BlendProperty9,mape_BlendProperty10
20250721_235417,1,submission_20250721_235417_001.csv,0.5085142854148048,0.9647160246427172,0.2726533825815121,0.6729972416812057,0.385436915616188,0.034933304405728234,0.3089542562396623,0.555865792021224,0.5399271487428098,0.9175841164765065,0.4320746717404944
20250722_001934,1,submission_20250722_001934_001.csv,0.5343561949592719,1.2326027843536271,0.324431639685861,0.6775527519444172,0.4019858056910284,0.03106676032273944,0.32337809599719913,0.544873261985039,0.5384942449832042,0.8210201565038647,0.44815644812574235
20250722_002531,2,submission_20250722_002531_002.csv,0.4690144058914122,0.5118563757942467,0.2931933214098058,0.677188378193611,0.3915879885655311,0.033109399331192946,0.3782635420128702,0.661025771855976,0.5251163279962809,0.8355797682259548,0.3832231855286517
20250722_003520,1,submission_20250722_003520_001.csv,0.5737363995309488,1.4583754290776192,0.2719310045497873,0.7530688730468712,0.3800060837985902,0.036174069093073274,0.34682142764255447,0.624952661846143,0.512347783463037,0.9366092401878081,0.41707742260400177
20250722_004556,2,submission_20250722_004556_002.csv,0.4869165646616837,0.9458093209947341,0.2865706647583627,0.6961070904015765,0.39739542490976887,0.03496999549972331,0.36167104646157455,0.4823036713976037,0.4961642136995172,0.8107102643027045,0.3574639541912716
20250722_005629,3,submission_20250722_005629_003.csv,0.49889365217737647,0.7415301945149854,0.32877233749858714,0.6841359523548172,0.3595860349669745,0.033601803356027596,0.4048990836036238,0.6051659379885822,0.5905889402321849,0.8399358507848457,0.4007203864731365
20250722_010648,4,submission_20250722_010648_004.csv,0.5065534111656176,0.903559827984382,0.2702535255114139,0.715516703668322,0.36933291533350876,0.03472729533853391,0.38266615860035547,0.5259140254792528,0.6276473611359221,0.8014562971938944,0.43446000141058916
20250722_011712,5,submission_20250722_011712_005.csv,0.4733727912629053,0.6999614791813445,0.2598882512759969,0.6003311201853151,0.4504662539876946,0.03385545327828119,0.3384603011807497,0.564909149226778,0.567311939992598,0.8066143585607953,0.41192960575949983
20250722_012704,1,submission_20250722_012704_001.csv,0.579347008472436,1.3548263246595251,0.3205870222222295,0.7235904847940172,0.4124901845760299,0.03482810371744091,0.4121654910740175,0.7360967981976723,0.5467979363741742,0.803661946240904,0.44842579286835255
20250722_013724,2,submission_20250722_013724_002.csv,0.5283516197490046,1.2741244286415985,0.3048683050128805,0.6696124511123317,0.394466650730833,0.038067445112612376,0.3163213063670375,0.49800880235071887,0.56837491711119,0.8814189329899893,0.33825295806085076
20250722_014743,3,submission_20250722_014743_003.csv,0.5188360895612064,1.1268298368877645,0.29719611861044953,0.708549589421169,0.4086132948146097,0.037145179962637644,0.413562578430816,0.5648848411371811,0.5611299560269669,0.6925797536006163,0.3778697467198536
