Model,Mean_MAPE,Std_MAPE,Mean_R2,Std_R2,Mean_Score,Std_Score
LinearRegression,0.7094164585424985,0.11013797403784759,0.973631223993044,0.002450766978638763,73.91851255358462,4.049190221979693
Ridge,0.7165114567399609,0.10972980203609534,0.9735447930251759,0.002452398365723789,73.65766703161908,4.034183898385859
GradientBoosting,1.036206647728193,0.23379881656355178,0.9634331361958409,0.0016927343974149037,61.90416736293408,8.595544726601165
RandomForest,1.3089562215325994,0.10576028005980745,0.9290572853639109,0.0032894571932867364,51.87660950247797,3.8882455904340953
ElasticNet,1.3466897886558047,0.29257283168356063,0.8960256244438793,0.01344410716207701,50.4893460053013,10.75635410601326
Lasso,1.7141891449397537,0.4294061291523353,0.8235039057825928,0.0222440051825126,36.978340259567894,15.786990042365266
