Model,Mean_MAPE,Std_MAPE,Mean_R2,Std_R2,Mean_Score,Std_Score
LinearRegression,0.7094161562500167,0.11013759076441024,0.9736312227287691,0.002450768292135838,73.9185236672788,4.049176131044494
Ridge,0.7165114567399572,0.10972980203608888,0.9735447930251759,0.002452398365723816,73.65766703161923,4.034183898385622
GradientBoosting,1.053075829624396,0.22389598292442695,0.96346912571034,0.0016596989044140593,61.28397685204428,8.231469960456874
RandomForest,1.312761526255592,0.10491361571618602,0.9289659624898483,0.003333507995301977,51.73670859354443,3.857118224859779
ElasticNet,1.3466952246379802,0.29258047141005444,0.8960257113619827,0.013443787167348389,50.48914615301543,10.756634978310823
Lasso,1.7141958774406016,0.4294065439322097,0.8235037516111963,0.022243944666274724,36.978092741154356,15.787005291625354
