Model,MAPE,R2,RMSE,Leaderboard_Score
VotingEnsemble,1.1912456099070794,0.9620453680552913,0.1856916310241214,56.20420551812209
CatBoost,1.326054332278963,0.9625578763230589,0.18458802350936815,51.24800248974401
Stacking_Ensemble,1.5622702969196092,0.944825325747446,0.22442104761960424,42.56359202501437
XGBoost_Optimized,1.780236598051061,0.9638290532518281,0.18083078053126478,34.550125071652175
Weighted_Ensemble,2.909036547980919,0.9187304180480824,0.2728113404164755,0.0
